document,topic
/Users/magdalenas/Downloads/textmining (2)/BeyondEntitiesAndRelationships.txt,5
/Users/magdalenas/Downloads/textmining (2)/bigdata.txt,1
/Users/magdalenas/Downloads/textmining (2)/ConditionsOverCauses.txt,3
/Users/magdalenas/Downloads/textmining (2)/EmergentDesignInEnterpriseIT.txt,2
/Users/magdalenas/Downloads/textmining (2)/FromInformationToKnowledge.txt,1
/Users/magdalenas/Downloads/textmining (2)/FromTheCoalface.txt,3
/Users/magdalenas/Downloads/textmining (2)/HeraclitusAndParmenides.txt,2
/Users/magdalenas/Downloads/textmining (2)/IroniesOfEnterpriseIT.txt,4
/Users/magdalenas/Downloads/textmining (2)/MakingSenseOfOrganizationalChange.txt,2
/Users/magdalenas/Downloads/textmining (2)/MakingSenseOfSensemaking.txt,5
/Users/magdalenas/Downloads/textmining (2)/ObjectivityAndTheEthicalDimensionOfDecisionMaking.txt,4
/Users/magdalenas/Downloads/textmining (2)/OnTheInherentAmbiguitiesOfManagingProjects.txt,3
/Users/magdalenas/Downloads/textmining (2)/OrganisationalSurprise.txt,5
/Users/magdalenas/Downloads/textmining (2)/ProfessionalsOrPoliticians.txt,1
/Users/magdalenas/Downloads/textmining (2)/RitualsInInformationSystemDesign.txt,1
/Users/magdalenas/Downloads/textmining (2)/RoutinesAndReality.txt,3
/Users/magdalenas/Downloads/textmining (2)/ScapegoatsAndSystems.txt,4
/Users/magdalenas/Downloads/textmining (2)/SherlockHolmesFailedProjects.txt,5
/Users/magdalenas/Downloads/textmining (2)/SixHeresiesForBI.txt,2
/Users/magdalenas/Downloads/textmining (2)/SixHeresiesForEnterpriseArchitecture.txt,4
/Users/magdalenas/Downloads/textmining (2)/TOGAFOrNotTOGAF.txt,2
/Users/magdalenas/Downloads/textmining (2)/TheArchitectAndTheApparition.txt,5
/Users/magdalenas/Downloads/textmining (2)/TheCloudAndTheGrass.txt,4
/Users/magdalenas/Downloads/textmining (2)/TheConsultantsDilemma.txt,3
/Users/magdalenas/Downloads/textmining (2)/TheDangerWithin.txt,2
/Users/magdalenas/Downloads/textmining (2)/TheDilemmasOfEnterpriseIT.txt,3
/Users/magdalenas/Downloads/textmining (2)/TheEssenceOfEntrepreneurship.txt,2
/Users/magdalenas/Downloads/textmining (2)/ThreeTypesOfUncertainty.txt,1
/Users/magdalenas/Downloads/textmining (2)/UnderstandingFlexibility.txt,4
/Users/magdalenas/Downloads/textmining (2)/sherlockHolmesMgmtFetis.txt,1
